amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
13,31,0,3,zscore,0.97,0.9108999995860138,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
7,41,0,3,zscore,0.97,1.3571438238036684,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,51,0,3,zscore,0.97,1.317963261926642,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,41,0,5,zscore,0.97,1.068132294232189,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
7,51,0,5,zscore,0.97,1.1958485306585653,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
7,51,0,3,zscore,0.97,1.3065435190759873,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
11,51,0,5,zscore,0.97,1.0046568452989262,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
13,31,0,5,zscore,0.97,0.7975761709735366,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
13,51,0,5,zscore,0.97,0.965589908701714,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,41,0,0,none,0.97,2.4214160116955465,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,31,0,5,zscore,0.97,0.9802866634255325,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,41,0,3,zscore,0.97,1.2089450640709112,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,41,0,3,zscore,0.96,1.0530218670462388,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,51,0,5,zscore,0.96,0.8332246980936998,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
11,41,0,0,amplify,0.96,2.340553781483191,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
11,41,0,5,zscore,0.96,0.780685559115753,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
11,51,0,5,zscore,0.96,0.7717612909208248,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
11,31,0,3,zscore,0.96,0.8085110592916224,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,31,0,5,zscore,0.96,0.6367695176295759,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,51,0,0,amplify,0.96,2.358298687125052,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
