amp_window,score_window,diff_order,smooth,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,41,2,0,0.96,2.1738356586578687,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
11,31,2,0,0.96,2.0493376715038623,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,51,0,0,0.95,2.1904368999465222,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
9,51,0,0,0.95,2.0308750949601726,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
11,51,0,0,0.95,2.045290432983173,0.32,0.7272727272727273,0.4444444444444444,8,17,3,25
9,27,2,0,0.95,1.741030375217009,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
11,27,2,0,0.95,1.8845394024644884,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
9,31,2,0,0.95,1.8128453248953913,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
9,41,2,0,0.95,1.8711011631447598,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
9,51,2,0,0.95,2.0126997577024177,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
9,51,0,0,0.94,1.752157060298201,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
11,51,0,0,0.94,1.806853436159248,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
11,41,2,0,0.95,2.0447417442131317,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
5,51,0,0,0.94,1.6633214430488021,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
5,51,2,0,0.95,1.838577597435843,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
5,41,2,0,0.95,1.7785466994337296,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
17,41,2,0,0.94,1.8901233677075693,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
7,71,2,0,0.95,2.297882868220078,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
11,31,2,0,0.95,1.8962539420872178,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
5,27,2,0,0.95,1.7015153993539185,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
17,41,2,0,0.95,2.221223855147416,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
21,71,2,0,0.95,2.7135941160765586,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
21,41,2,0,0.94,2.0518942102840083,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
17,51,2,0,0.95,2.226049608949512,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
21,41,2,0,0.95,2.242660029701715,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
5,31,2,0,0.95,1.7934869459223701,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
21,27,2,0,0.95,1.8088696361014536,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
21,51,0,0,0.94,1.834759610547269,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
21,31,2,0,0.95,2.029283650158693,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
7,51,0,0,0.94,1.94104799497856,0.27586206896551724,0.7272727272727273,0.4,8,21,3,29
7,41,2,0,0.95,1.9001843554635651,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
21,51,2,0,0.95,2.2075822813672317,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
7,51,2,0,0.95,1.9775418465025576,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
7,31,2,0,0.95,1.8636797333630364,0.2916666666666667,0.6363636363636364,0.4,7,17,4,24
