amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
5,31,1,0.85,0.7963761134457641,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
9,31,0,0.85,0.9586655194405672,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
3,27,0,0.85,0.9304941441750502,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
11,31,0,0.85,0.9517949953183601,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
11,27,0,0.85,0.9169811796351748,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
7,27,0,0.85,1.0176855664505429,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
7,31,1,0.85,0.7833575941668764,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
9,31,1,0.85,0.7858132132273496,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
5,27,0,0.85,0.9756220244974337,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
3,27,1,0.88,0.9718386324306704,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
7,21,0,0.88,0.967553849383127,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
5,21,1,0.88,0.8664744597233952,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
11,27,1,0.88,0.9934437815686504,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
7,27,0,0.88,1.1709489254765155,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
9,21,0,0.88,0.954720739988831,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
7,21,1,0.88,0.8788598681330648,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
5,27,1,0.88,0.9883474406267092,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
3,21,1,0.88,0.8929253346105945,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
11,21,0,0.88,0.9830271826929421,0.10344827586206896,0.5454545454545454,0.17391304347826086,6,52,5,58
5,27,0,0.8,0.6861968072402915,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
3,21,1,0.9,1.0429529333236853,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
9,31,0,0.8,0.6844292333901368,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
11,21,0,0.9,1.080728410398102,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
11,21,1,0.9,1.1255087469847262,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
7,27,0,0.8,0.7150697670762677,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
11,31,0,0.8,0.6518360379943632,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
5,21,0,0.9,1.0559135718697228,0.10204081632653061,0.45454545454545453,0.16666666666666669,5,44,6,49
7,31,0,0.8,0.7593048538435643,0.09278350515463918,0.8181818181818182,0.16666666666666669,9,88,2,97
