amp_window,score_window,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
3,15,0.95,1.2305595429738816,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
9,11,0.95,1.2039218886901852,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
9,7,0.95,1.2457721626239064,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
9,15,0.95,1.311369691770147,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
7,15,0.95,1.3205574986310569,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
5,21,0.95,1.4762430713452444,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
7,11,0.95,1.151179683440133,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
9,7,0.88,0.8886937255692567,0.05172413793103448,0.08823529411764706,0.06521739130434782,3,55,31,58
3,15,0.88,0.891142874723072,0.05172413793103448,0.08823529411764706,0.06521739130434782,3,55,31,58
9,11,0.94,1.1382945987317654,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
9,7,0.94,1.1810254311021955,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
5,15,0.94,1.2169570155366223,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
7,15,0.94,1.1835588103809376,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
7,11,0.94,1.0685972082687716,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
3,15,0.94,1.151649787751286,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
11,11,0.94,1.2197567633564175,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
11,7,0.94,1.232445389469516,0.06896551724137931,0.058823529411764705,0.0634920634920635,2,27,32,29
7,7,0.85,0.7546221822693646,0.0410958904109589,0.08823529411764706,0.05607476635514018,3,70,31,73
9,7,0.85,0.7579546479826381,0.0410958904109589,0.08823529411764706,0.05607476635514018,3,70,31,73
7,7,0.92,1.121094818617364,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
7,11,0.92,0.9400192548920365,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
3,15,0.92,1.039981967577292,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
9,7,0.92,1.0719081840438573,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
5,11,0.92,1.0233872068853707,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
3,11,0.92,0.9824929573294731,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
5,15,0.92,1.05622348964818,0.05128205128205128,0.058823529411764705,0.0547945205479452,2,37,32,39
5,11,0.9,0.9488764433836508,0.04081632653061224,0.058823529411764705,0.048192771084337345,2,47,32,49
3,11,0.9,0.924016054609265,0.04081632653061224,0.058823529411764705,0.048192771084337345,2,47,32,49
3,15,0.9,0.9901793659540059,0.04081632653061224,0.058823529411764705,0.048192771084337345,2,47,32,49
7,7,0.9,1.0277959714367708,0.04081632653061224,0.058823529411764705,0.048192771084337345,2,47,32,49
3,7,0.8,0.6965703447398419,0.030927835051546393,0.08823529411764706,0.04580152671755725,3,94,31,97
5,7,0.8,0.6721034995264715,0.030927835051546393,0.08823529411764706,0.04580152671755725,3,94,31,97
9,11,0.98,1.5102099407702123,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
7,7,0.98,1.7211049010785,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
3,11,0.98,1.5140540525169808,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
7,15,0.98,1.5545934178790466,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
5,15,0.98,1.723629754213175,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
3,7,0.98,1.6677261132931718,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
9,7,0.98,1.6158941405729643,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
5,11,0.98,1.515569530697913,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
11,7,0.98,1.9504550053968617,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
11,11,0.98,1.5187070025476703,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
3,15,0.98,1.5697463764331525,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
11,15,0.98,1.6556646145863412,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
5,7,0.98,1.689419643001786,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
9,15,0.98,1.5950091256736745,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
7,11,0.98,1.5386748377118826,0.1,0.029411764705882353,0.04545454545454545,1,9,33,10
7,7,0.88,0.9362476688475402,0.034482758620689655,0.058823529411764705,0.043478260869565216,2,56,32,58
3,7,0.97,1.5910431098669373,0.06666666666666667,0.029411764705882353,0.04081632653061225,1,14,33,15
9,15,0.97,1.488933110716605,0.06666666666666667,0.029411764705882353,0.04081632653061225,1,14,33,15
11,15,0.97,1.5179780770198883,0.06666666666666667,0.029411764705882353,0.04081632653061225,1,14,33,15
